PC9,VS_GLOBAL,SKU_1_2_SEARS,SKU_2_2_LIVERPOOL,MARCA,GENDER ,COLLECTION,USE_TYPE,LINE,NAME,DESCRIPTION,EXTENDED_DESCRIPTION,MATERIAL,COLOR,SPANISH_COLOR,SHOOTING,STATUS
698460001,69846-0001,-,-,Levi's,Men's,Red Tab,Moda,Tops,Short Sleeve L-Tab Tee,"Playera manga corta,  bloque de color con logo.","­Luce incre¡ble con la Short Sleeve L-Tab Tee! Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,L-Tab Phalarope Demitasse Camo/ Lychee Panel Pri,Camuflaje,SI,-
698460003,69846-0003,-,-,Levi's,Men's,Red Tab,Moda,Tops,Short Sleeve L-Tab Tee,"Playera manga corta,  bloque de color con logo.","­Luce incre¡ble con la Short Sleeve L-Tab Tee! Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,L-Tab Black/ Lychee Panel Print ,Negro,SI,-
676960000,67696-0000,3403649,1080118413,Levi's,Women's, Misses ,B sico,Tops,Ayala Top,"Blusa, manga 3/4, cuello v con cintas ajustables, estampado de flores. ",Ayala Top es ideal para usar en un d¡a soleado junto tus jeans favoritos.,100% Viscosa,Sweet Bouquet Heavenly Pink,Blanco,SI,-
676960001,67696-0001,-,1079938912,Levi's,Women's, Misses ,B sico,Tops,Ayala Top,"Blusa, manga 3/4, cuello v con cintas ajustables.",Ayala Top es ideal para usar en un d¡a soleado junto tus jeans favoritos.,100% Viscosa,Caviar,Negro,SI,-
195860128,19586-0128,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.",100% Algod¢n,Trelipe MarsHousemarkallow ,Azul,SI,-
195860119,19586-0119,3835537,1080028945,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.","65% Algod¢n, 35% Lyocell",Tencel Denim Light Wash,Azul,SI,-
195860000,19586-0000,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.",100% Algod¢n,White ,Blanco,SI,-
195860120,19586-0120,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.",100% Algod¢n,Rassett Dress Blues Plaid ,Blanco/Azul,SI,-
195860131,19586-0131,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.",100% Algod¢n,Grindstone CasHousemarkere Blue ,Gris,SI,-
195860124,19586-0124,-,-,Levi's,Men's,Red Tab,Moda,Tops,Classic One Pocket,"Camisa corte slim,  cuello regular, manga larga, bolsillo al frente.","Camisa corte slim, cuello redondo, manga larga, botones tipo ojal. Dise¤ado con nuestro Classic fit, esta camisa tiene un bolsillo que la convierte en una prenda tanto atemporal como vers til. Ideal para estar fresco y con estilo.",100% Algod¢n,Peltier Cloud Dancer ,Multicolor,SI,-
